fips_code,State_name,County.x,report_date,cases_per_100K_7_day_count_change,percent_uninsured_2019,poverty_rate_2019,percent_uninsured_2019_US_avg,poverty_rate_2019_US_avg,total_population_2019,Percentile_Covid,Date,StateName,StateAbbr,County.y,Series_Complete_12PlusPop_Pct,Administered_Dose1_Recip_12PlusPop_Pct,Percentile_Vax,US_Series_Complete_12PlusPop_Pct_Natl_Avg
25013,Massachusetts,Hampden County,2022-01-15,2414.6,3,17.1,9.2,10.5,466372,0.05605730302086578,2022-01-15,Massachusetts,MA,Hampden County,70.7,85.8,0.786784140969163,71.8
25019,Massachusetts,Nantucket County,2022-01-15,2421.27,4.5,8.6,9.2,10.5,11399,0.05481158517595765,2022-01-15,Massachusetts,MA,Nantucket County,1.9,4.6,0,71.8
25025,Massachusetts,Suffolk County,2022-01-15,2359.73,4,19.3,9.2,10.5,803907,0.06072874493927125,2022-01-15,Massachusetts,MA,Suffolk County,76.7,92.6,0.8493392070484581,71.8
28013,Mississippi,Calhoun County,2022-01-15,2458.05,11.9,25.1,9.2,10.5,14361,0.05076300218000623,2022-01-15,Mississippi,MS,Calhoun County,49,56.6,0.28810572687224667,71.8
28017,Mississippi,Chickasaw County,2022-01-15,2175.06,14,21.2,9.2,10.5,17103,0.09280597944565556,2022-01-15,Mississippi,MS,Chickasaw County,55.3,63,0.4604992657856094,71.8
28031,Mississippi,Covington County,2022-01-15,3836.66,14.1,24.4,9.2,10.5,18636,0.00903145437558393,2022-01-15,Mississippi,MS,Covington County,57.2,65.9,0.5063142437591777,71.8
28051,Mississippi,Holmes County,2022-01-15,2222.22,17.5,43.6,9.2,10.5,17010,0.07941451261289317,2022-01-15,Mississippi,MS,Holmes County,65.5,74.1,0.7121879588839941,71.8
28081,Mississippi,Lee County,2022-01-15,2328.06,11.6,15.9,9.2,10.5,85436,0.0650887573964497,2022-01-15,Mississippi,MS,Lee County,49.4,55.8,0.297503671071953,71.8
28097,Mississippi,Montgomery County,2022-01-15,2833.76,9.3,27.3,9.2,10.5,9775,0.02678293366552476,2022-01-15,Mississippi,MS,Montgomery County,62.2,68.8,0.6358296622613803,71.8
28099,Mississippi,Neshoba County,2022-01-15,2404.01,12,23.7,9.2,10.5,29118,0.05668016194331984,2022-01-15,Mississippi,MS,Neshoba County,46.5,54.8,0.21938325991189428,71.8
